127.0.0.1, 2018-06-04 12:42:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-04 12:42:49, GET, /rip/networkApi/networkOperation, HTTP/1.1, 404, 0.023000
127.0.0.1, 2018-06-04 12:42:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-04 12:43:17, GET, /rip/vmOperation/linkedClone, HTTP/1.1, 200, 0.034000
127.0.0.1, 2018-06-04 12:43:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-04 12:43:18, GET, /rip/clusterOperation/clusterApi, HTTP/1.1, 404, 0.021000
127.0.0.1, 2018-06-04 12:43:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-04 12:43:21, GET, /rip/vmOperation/linkedClone, HTTP/1.1, 200, 0.052000
127.0.0.1, 2018-06-04 12:43:21, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-06-04 12:44:25, GET, /rip/networkOperation/networkApi, HTTP/1.1, 404, 0.032000
